post_id,timestamp,content_type,caption_length,hashtags,mentions,likes,comments,shares,saves,reach,impressions
post_1,2023-06-01 09:15:00,image,120,5,2,450,35,20,15,2500,3200
post_2,2023-06-01 14:30:00,video,85,7,1,780,65,45,30,4200,5100
post_3,2023-06-02 10:45:00,carousel,150,4,3,520,42,25,18,3100,3800
post_4,2023-06-03 08:20:00,image,95,3,1,380,28,15,12,2200,2800
post_5,2023-06-03 17:10:00,video,110,6,2,850,72,50,35,4500,5500
post_6,2023-06-04 12:30:00,carousel,130,5,2,650,55,30,22,3800,4600
post_7,2023-06-05 09:45:00,image,105,4,1,420,32,18,14,2400,3000
post_8,2023-06-06 15:20:00,video,90,8,3,920,80,60,40,5000,6200
post_9,2023-06-07 11:00:00,carousel,140,6,2,580,48,28,20,3400,4100
post_10,2023-06-08 08:40:00,image,100,3,1,400,30,16,13,2300,2900
post_11,2023-06-09 14:15:00,video,115,7,2,800,70,48,32,4300,5300
post_12,2023-06-10 10:30:00,carousel,135,5,3,620,52,32,24,3600,4400
post_13,2023-06-11 09:00:00,image,110,4,1,430,34,19,15,2500,3100
post_14,2023-06-12 16:45:00,video,95,6,2,880,76,55,38,4800,5900
post_15,2023-06-13 11:20:00,carousel,145,5,2,600,50,30,22,3500,4300
post_16,2023-06-14 08:50:00,image,105,3,1,410,31,17,13,2350,2950
post_17,2023-06-15 15:10:00,video,120,7,3,830,73,52,36,4400,5400
post_18,2023-06-16 12:30:00,carousel,140,6,2,640,54,34,25,3700,4500
post_19,2023-06-17 09:15:00,image,100,4,1,440,36,20,16,2550,3200
post_20,2023-06-18 17:30:00,video,110,8,2,900,78,58,42,4900,6000
post_21,2023-06-19 10:45:00,carousel,130,5,3,610,51,31,23,3550,4350
post_22,2023-06-20 08:30:00,image,95,3,1,420,32,18,14,2400,3000
post_23,2023-06-21 14:20:00,video,105,6,2,860,74,53,37,4600,5600
post_24,2023-06-22 11:10:00,carousel,135,5,2,630,53,33,24,3650,4450
post_25,2023-06-23 09:40:00,image,100,4,1,450,37,21,16,2600,3250
post_26,2023-06-24 16:15:00,video,115,7,3,910,79,59,43,4950,6050
post_27,2023-06-25 12:00:00,carousel,140,6,2,650,55,35,26,3750,4550
post_28,2023-06-26 08:45:00,image,105,3,1,460,38,22,17,2650,3300
post_29,2023-06-27 15:30:00,video,120,8,2,930,81,61,44,5050,6150
post_30,2023-06-28 10:20:00,carousel,145,5,3,670,56,36,27,3800,4600 